331 75
331.624 83.5518
332.105 88.7758
332.492 91.8638
332.818 93.6546
333.103 94.7003
333.361 95.3329
333.6 95.7299
333.822 95.9802
334.031 96.1365
334.229 96.2329
334.417 96.2892
334.597 96.3146
334.77 96.3119
334.937 96.2806
335.099 96.2213
335.256 96.138
335.409 96.0381
335.559 95.9312
335.707 95.828
335.853 95.7389
335.998 95.6729
336.142 95.6363
336.285 95.6322
336.428 95.6601
336.571 95.7173
336.714 95.7988
336.857 95.8982
337 96.0083
337.143 96.1219
337.286 96.2319
337.429 96.3313
337.571 96.4136
337.714 96.4722
337.857 96.5005
338 96.4917
338.143 96.4386
338.286 96.334
338.429 96.1716
338.571 95.9468
338.714 95.6584
338.857 95.3094
339 94.9083
339.143 94.4705
339.286 94.0179
339.429 93.5772
339.571 93.1761
339.714 92.8401
339.857 92.5889
340 92.4333
340.143 92.3717
340.286 92.3882
340.429 92.4546
340.571 92.5335
340.714 92.582
340.857 92.555
341 92.4083
341.143 92.1024
341.286 91.6051
341.429 90.8933
341.572 89.9539
341.715 88.7855
341.858 87.3989
342.002 85.8187
342.147 84.0842
342.293 82.2492
342.441 80.3788
342.591 78.5446
342.744 76.8201
342.901 75.2761
343.063 73.9759
343.23 72.9706
343.403 72.2959
343.583 71.9712
343.771 72.0006
343.969 72.3734
344.178 73.0645
344.4 74.0359
344.639 75.2362
344.897 76.5988
345.182 78.0319
345.508 79.4048
345.895 80.5352
346.376 81.1755
347 81
