// 2-way distribution on field 2 (down) by field 1 (across) 
//                     steve    lisa     rob  takisha    Total  

 970501                   6       0       0       0      6  
 970601                 118       0       0       0    118  
 970701                 260     337       0       0    597  
 970801                 100     368       0       0    468  
 970901                  99     439       0       0    538  
 971001                  66     508       0       0    574  
 971101                  49     546       0       0    595  
 971201                  48     357       0       0    405  
 980101                  27     260       0       0    287  
 980201                 212     387       0       0    599  
 980301                 473      76       0       0    549  
 980401                 418     330       0       0    748  
 980501                 129     433       0       0    562  
 980601                 314     284       0       0    598  
 980701                 266     238       0       0    504  
 980801                  82     286     365       0    733  
 980901                  27     358     394       0    779  
 981001                 160     524     412       0   1096  
 981101                  86      55     685       0    826  
 981201                 192       4     909       0   1105  
 990101                 126      20     732      32    910  
 990201                 105       0     942      73   1120  
 990301                  51       0    1232     403   1686  
 990401                   0       0      11       8     19  
 //Total:              3414    5810    5682     516  15422
