Sun Sep 26 09:33:34 EDT 1999    33601
Sun Sep 26 09:33:38 EDT 1999    23595
Sun Sep 26 09:33:43 EDT 1999    40600
Sun Sep 26 10:28:40 EDT 1999    16245
Sun Sep 26 10:28:44 EDT 1999    32615
Sun Sep 26 10:28:49 EDT 1999    16726
Sun Sep 26 10:28:54 EDT 1999    38696
Sun Sep 26 12:13:41 EDT 1999    45027
Sun Sep 26 12:13:45 EDT 1999    22712
Sun Sep 26 12:13:50 EDT 1999    32867
Sun Sep 26 12:13:54 EDT 1999     2757
Sun Sep 26 12:13:59 EDT 1999    18918
Sun Sep 26 12:14:04 EDT 1999    34555
Sun Sep 26 12:14:09 EDT 1999    25721
Sun Sep 26 12:14:14 EDT 1999    15905
Sun Sep 26 12:14:18 EDT 1999    19941
Sun Sep 26 12:14:23 EDT 1999    48079
Sun Sep 26 12:14:28 EDT 1999    47763
Sun Sep 26 12:14:33 EDT 1999    14907
Sun Sep 26 12:14:38 EDT 1999     1538
Sun Sep 26 12:14:42 EDT 1999     5126
Sun Sep 26 12:14:47 EDT 1999    31175
Sun Sep 26 12:14:52 EDT 1999     1798
Sun Sep 26 12:14:56 EDT 1999    32751
Sun Sep 26 12:19:46 EDT 1999    38403
Sun Sep 26 17:08:12 EDT 1999    46405
Sun Sep 26 17:08:17 EDT 1999    17891
Sun Sep 26 17:39:26 EDT 1999    44217
Sun Sep 26 17:39:30 EDT 1999     2667
Sun Sep 26 17:39:35 EDT 1999     5554
Mon Sep 27 08:18:38 EDT 1999     3644
Mon Sep 27 14:47:11 EDT 1999    30738
Mon Sep 27 14:47:15 EDT 1999    19114
Mon Sep 27 14:47:20 EDT 1999     2782
Mon Sep 27 14:47:25 EDT 1999    42784
Mon Sep 27 14:47:30 EDT 1999    40069
Mon Sep 27 14:47:35 EDT 1999    18865
Mon Sep 27 14:47:40 EDT 1999     8895
Mon Sep 27 14:47:45 EDT 1999    14159
Mon Sep 27 14:47:49 EDT 1999     2611
Mon Sep 27 14:47:55 EDT 1999    46539
Mon Sep 27 14:48:00 EDT 1999    12340
Mon Sep 27 14:48:04 EDT 1999    49748
Mon Sep 27 14:48:09 EDT 1999    31742
Mon Sep 27 14:48:14 EDT 1999     9798
Mon Sep 27 14:48:19 EDT 1999    23759
Mon Sep 27 14:48:24 EDT 1999    22240
Mon Sep 27 14:48:28 EDT 1999    49402
Mon Sep 27 15:01:32 EDT 1999    35841
Mon Sep 27 15:01:37 EDT 1999    36312
Mon Sep 27 15:01:41 EDT 1999    10665
Mon Sep 27 15:06:47 EDT 1999    16689
Mon Sep 27 15:11:02 EDT 1999    20756
Mon Sep 27 15:13:57 EDT 1999     8948
Mon Sep 27 15:14:01 EDT 1999    17466
Mon Sep 27 15:14:05 EDT 1999    24110
Mon Sep 27 15:14:10 EDT 1999    32691
Mon Sep 27 15:14:14 EDT 1999    14809
