41001 3 C 7 021 022 028 - - - - - - - 
41002 1 C 7 048 049 049 - - - - - - - 
41003 3 C B 047 035 - - - - - - - - 
41004 1 A 7 100 100 100 - - - - - - - 
41005 2 C B 093 093 - - - - - - - - 
41006 2 C 7 087 034 - - - - - - - - 
41007 3 A B 099 099 - - - - - - - - 
41009 3 A B 069 073 - - - - - - - - 
41010 2 C B 100 - - - - - - - - - 
41011 1 A 7 100 - - - - - - - - - 
41012 3 C B 049 - - - - - - - - - 
41014 2 C B 094 - - - - - - - - - 
41015 1 C B 030 - - - - - - - - - 
41016 3 A 7 058 - - - - - - - - - 
41017 2 A B 020 - - - - - - - - - 
41090 5 A B 055 064 - 033 - - - - - - 
41902 4 C B 098 085 093 098 100 - - - - 089 
41903 6 C B 019 - - - - - - - - - 
41904 4 A 7 051 051 053 055 053 051 - - 049 050 
41906 7 A r 026 028 041 - - - - - - - 
41908 6 A 7 047 019 033 053 - 046 - - - - 
41909 4 A 7 091 100 100 085 100 099 - 047 - 061 
41913 7 B l 079 097 094 100 098 100 - - - - 
41916 4 C B 070 070 066 059 060 032 - 041 - 033 
41917 5 C 7 080 080 081 083 085 073 - - - - 
41919 5 A B 078 066 069 091 085 081 - - - - 
41920 5 C 7 021 008 009 027 024 022 - - - - 
41922 7 B l 018 025 025 027 025 023 - - - - 
41923 5 A 7 020 028 027 027 029 028 - - - - 
41925 7 A B 070 075 073 075 081 068 - - - - 
41930 5 C B 078 080 078 081 079 078 - - - - 
41932 4 C 7 020 025 049 048 061 054 - - 053 057 
41934 5 A B 080 080 069 068 061 077 075 - - - 
41936 5 A 7 046 054 023 025 032 030 - - - - 
41937 4 A B 100 100 098 100 099 100 - 100 - 100 
41938 6 C 7 098 100 096 090 092 089 095 - - - 
41939 6 C 7 083 - - - - - - - - - 
41940 4 C B 033 - - - - - - - - - 
41948 7 B l 051 064 053 030 046 - 031 - - - 
41949 6 A B 019 020 039 034 028 - 030 - - - 
41951 4 A 7 100 100 100 100 098 100 - 100 - - 
41952 4 A B 100 100 099 099 - - - - - - 
41954 7 A r 067 058 032 024 - 021 025 - - - 
41955 6 A B 037 022 028 027 - 023 025 - - - 
41958 7 B r 039 035 - - - - - - - - 
41961 6 A 7 064 063 065 055 064 - 065 - - - 
41963 6 C 7 090 087 088 088 - 095 093 - - - 
41964 7 A r 053 058 057 058 - 075 065 - - - 
41966 5 C B 075 060 060 059 - 060 058 - - - 
41967 6 C 7 071 090 073 064 - 057 - - - - 
41970 5 C B 011 013 015 011 - - 022 - - - 
41972 5 A B 092 091 085 089 - - 081 - - - 
41973 4 C 7 091 097 094 088 - - 094 - - - 
41983 5 A 7 095 097 098 097 - - - - - - 
41985 5 C 7 079 080 071 022 - - 029 - - - 
41989 1 C B 100 - 099 - - - - - - - 
41991 5 C B 080 090 091 093 - - - - - - 
41992 5 C 7 084 088 084 079 - - - - - - 
41993 1 A B 099 099 096 100 - - - - - - 
41994 1 A B 099 100 099 100 - - - - - - 
41995 1 C 7 100 100 100 100 - - - - - - 
41996 1 A 7 100 100 100 - - - - - - - 
41997 1 A 7 100 100 100 - - - - - - - 
41998 1 C B 100 - - - - - - - - - 
42001 2 A B 079 074 072 - - - - - - - 
42002 2 C B 086 085 083 - - - - - - - 
42006 2 A B 082 082 076 - - - - - - - 
