legendId,windTimeStamp,windLevel,windSpeed,windDirection
1,"2003-05-07 17:50:02",227,23.7,346
1,"2003-05-07 17:50:02",323,19.7,175
1,"2003-05-07 17:50:02",419,23.2,170
1,"2003-05-07 17:50:02",515,25.0,171
1,"2003-05-07 17:50:02",612,25.2,175
1,"2003-05-07 17:50:02",708,25.1,180
1,"2003-05-07 17:50:02",804,25.4,185
1,"2003-05-07 17:50:02",900,24.7,193
1,"2003-05-07 17:50:02",997,23.9,197
1,"2003-05-07 17:50:02",1093,22.3,205
1,"2003-05-07 17:50:02",1189,20.5,210
1,"2003-05-07 17:50:02",1285,19.1,215
1,"2003-05-07 17:50:02",1381,17.7,219
1,"2003-05-07 17:50:02",1478,15.4,220
1,"2003-05-07 17:50:02",1574,12.7,221
1,"2003-05-07 17:50:02",1670,11.4,218
1,"2003-05-07 17:50:02",1766,11.2,220
1,"2003-05-07 17:50:02",1863,11.3,216
1,"2003-05-07 17:50:02",1959,10.8,218
1,"2003-05-07 17:50:02",2055,10.1,222
1,"2003-05-07 17:50:02",2151,10.1,226
1,"2003-05-07 17:50:02",2247,11.3,231
1,"2003-05-07 17:50:02",2344,11.4,229
1,"2003-05-07 17:50:02",2440,10.9,227
1,"2003-05-07 12:50:47",227,81.9,303
1,"2003-05-07 12:50:47",419,20.4,342
1,"2003-05-07 12:50:47",515,24.2,166
1,"2003-05-07 12:50:47",612,24.2,170
1,"2003-05-07 12:50:47",708,23.4,171
1,"2003-05-07 12:50:47",804,24.5,170
1,"2003-05-07 12:50:47",900,24.2,170
1,"2003-05-07 12:50:47",997,23.5,167
1,"2003-05-07 12:50:47",1093,22.1,167
1,"2003-05-07 12:50:47",1189,21.3,168
1,"2003-05-07 12:50:47",1285,21.3,171
1,"2003-05-07 12:50:47",1381,22.5,181
1,"2003-05-07 12:50:47",1478,22.0,190
1,"2003-05-07 12:50:47",1574,22.9,191
1,"2003-05-07 12:50:47",1670,21.5,196
1,"2003-05-07 12:50:47",1766,18.6,194
1,"2003-05-07 12:50:47",1863,18.1,191
1,"2003-05-07 12:50:47",1959,18.9,189
1,"2003-05-07 12:50:47",2151,14.6,195
1,"2003-05-07 12:50:47",2247,12.4,196
1,"2003-05-07 12:50:47",2344,11.6,203
1,"2003-05-07 17:51:42",344,19.5,328
